price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,luxury_score,area_sq,price_log
8645000,4560,3,2,2,1,1,1,0,1,1,0,2,20793600,15.972491677099528
8575000,8800,3,2,2,1,0,0,0,1,2,0,3,77440000,15.964361551016278
8540000,6540,4,2,2,1,1,1,0,1,2,1,4,42771600,15.960271565764753
8463000,6000,3,2,4,1,1,1,0,1,0,1,2,36000000,15.951214278652243
8400000,8875,3,1,1,1,0,0,0,0,1,0,1,78765625,15.943742263813542
8400000,7950,5,2,2,1,0,1,1,0,2,0,2,63202500,15.943742263813542
8400000,5500,4,2,2,1,0,1,0,1,1,1,3,30250000,15.943742263813542
8400000,7475,3,2,4,1,0,0,0,1,2,0,3,55875625,15.943742263813542
8400000,7000,3,1,4,1,0,0,0,1,2,0,3,49000000,15.943742263813542
8295000,4880,4,2,2,1,0,0,0,1,1,1,3,23814400,15.931163481606681
8190000,5960,3,3,2,1,1,1,0,0,1,0,1,35521600,15.918424455829252
8120000,6840,5,1,2,1,1,1,0,1,1,0,2,46785600,15.90984071213786
8080940,7000,3,2,4,1,0,0,0,1,2,0,3,49000000,15.90501876036436
8043000,7482,3,2,3,1,0,0,1,0,1,1,2,55980324,15.900312705886206
7980000,9000,4,2,4,1,0,0,0,1,2,0,3,81000000,15.892448969425992
7962500,6000,3,1,4,1,1,0,0,1,2,0,3,36000000,15.890253578862556
7910000,6000,4,2,4,1,0,0,0,1,1,0,2,36000000,15.883638339743836
7875000,6550,3,1,2,1,0,1,0,1,0,1,2,42902500,15.879203742675971
7840000,6360,3,2,4,1,0,0,0,1,0,1,2,40449600,15.87474939232659
7700000,6480,3,2,4,1,0,0,0,1,2,0,3,41990400,15.856730886823913
7700000,6000,4,2,4,1,0,0,0,0,2,0,2,36000000,15.856730886823913
7560000,6000,4,2,4,1,0,0,0,1,1,0,2,36000000,15.838381748155715
7560000,6000,3,2,3,1,0,0,0,1,0,0,1,36000000,15.838381748155715
7525000,6000,3,2,4,1,0,0,0,1,1,0,2,36000000,15.833741368599213
7490000,6600,3,1,4,1,0,0,0,1,3,1,5,43560000,15.829079355493402
7455000,4300,3,2,2,1,0,1,0,0,1,0,1,18490000,15.824395506180975
7420000,7440,3,2,1,1,1,1,0,1,0,1,2,55353600,15.819689615143563
7420000,7440,3,2,4,1,0,0,0,0,1,1,2,55353600,15.819689615143563
7420000,6325,3,1,4,1,0,0,0,1,1,0,2,40005625,15.819689615143563
7350000,6000,4,2,4,1,1,0,0,1,1,0,2,36000000,15.81021087118902
7350000,5150,3,2,4,1,0,0,0,1,2,0,3,26522500,15.81021087118902
7350000,6000,3,2,2,1,1,0,0,1,1,0,2,36000000,15.81021087118902
7350000,6000,3,1,2,1,0,0,0,1,1,0,2,36000000,15.81021087118902
7343000,11440,4,1,2,1,0,1,0,0,1,1,2,130873600,15.809258036433748
7245000,9000,4,2,4,1,1,0,0,1,1,1,3,81000000,15.79582213373692
7210000,7680,4,2,4,1,1,0,0,1,1,0,2,58982400,15.790979509261131
7210000,6000,3,2,4,1,1,0,0,1,1,0,2,36000000,15.790979509261131
7140000,6000,3,2,2,1,1,0,0,0,1,0,1,36000000,15.781223334315767
7070000,8880,2,1,1,1,0,0,0,1,1,0,2,78854400,15.771371037872756
7070000,6240,4,2,2,1,0,0,0,1,1,0,2,38937600,15.771371037872756
7035000,6360,4,2,3,1,0,0,0,1,2,1,4,40449600,15.766408248530626
7000000,11175,3,1,1,1,0,1,0,1,1,1,3,124880625,15.761420707019587
6930000,8880,3,2,2,1,0,1,0,1,1,0,2,78854400,15.751370371166086
6930000,13200,2,1,1,1,0,1,1,0,1,0,1,174240000,15.751370371166086
6895000,7700,3,2,1,1,0,0,0,0,2,0,2,59290000,15.74630706920954
6860000,6000,3,1,1,1,0,0,0,1,1,0,2,36000000,15.741217999702068
6790000,12090,4,2,2,1,0,0,0,0,2,1,3,146168100,15.730961499534878
6790000,4000,3,2,2,1,0,1,0,1,0,1,2,16000000,15.730961499534878
6755000,6000,4,2,4,1,0,0,0,1,0,0,1,36000000,15.725793529376435
6720000,5020,3,1,4,1,0,0,0,1,0,1,2,25200400,15.720598712499333
6685000,6600,2,2,4,1,0,1,0,0,0,1,1,43560000,15.71537676851818
6650000,4040,3,1,2,1,0,1,1,0,1,0,1,16321600,15.710127412632037
6650000,4260,4,2,2,1,0,0,1,0,0,0,0,18147600,15.710127412632037
6650000,6420,3,2,3,1,0,0,0,1,0,1,2,41216400,15.710127412632037
6650000,6500,3,2,3,1,0,0,0,1,0,1,2,42250000,15.710127412632037
6650000,5700,3,1,1,1,1,1,0,1,2,1,4,32490000,15.710127412632037
6650000,6000,3,2,3,1,1,0,0,1,0,0,1,36000000,15.710127412632037
6629000,6000,3,1,2,1,0,0,1,0,1,1,2,36000000,15.70696452122353
6615000,4000,3,2,2,1,0,1,0,1,1,0,2,16000000,15.704850355531192
6615000,10500,3,2,1,1,0,1,0,1,1,1,3,110250000,15.704850355531192
6580000,6000,3,2,4,1,0,0,0,1,0,0,1,36000000,15.6995453033015
6510000,3760,3,1,2,1,0,0,1,0,2,0,2,14137600,15.688850014184752
6510000,8250,3,2,3,1,0,0,0,1,0,0,1,68062500,15.688850014184752
6510000,6670,3,1,3,1,0,1,0,0,0,1,1,44488900,15.688850014184752
6475000,3960,3,1,1,1,0,1,0,0,2,0,2,15681600,15.683459165549875
6475000,7410,3,1,1,1,1,1,0,1,2,1,4,54908100,15.683459165549875
6440000,8580,5,3,2,1,0,0,0,0,2,0,2,73616400,15.678039098080536
6440000,5000,3,1,2,1,0,0,0,1,0,0,1,25000000,15.678039098080536
6419000,6750,2,1,1,1,1,1,0,0,2,1,3,45562500,15.674772900293915
6405000,4800,3,2,4,1,1,0,0,1,0,0,1,23040000,15.672589493312971
6300000,7200,3,2,1,1,0,1,0,1,3,0,4,51840000,15.65606019136176
6300000,6000,4,2,4,1,0,0,0,0,1,0,1,36000000,15.65606019136176
6300000,4100,3,2,3,1,0,0,0,1,2,0,3,16810000,15.65606019136176
6300000,9000,3,1,1,1,0,1,0,0,1,1,2,81000000,15.65606019136176
6300000,6400,3,1,1,1,1,1,0,1,1,1,3,40960000,15.65606019136176
6293000,6600,3,2,3,1,0,0,0,1,0,1,2,43560000,15.65494846250907
6265000,6000,4,1,3,1,1,1,0,0,0,1,1,36000000,15.650489146312307
6230000,6600,3,2,1,1,0,1,0,1,0,1,2,43560000,15.644886890763637
6230000,5500,3,1,3,1,0,0,0,0,1,1,2,30250000,15.644886890763637
6195000,5500,3,2,4,1,1,0,0,1,1,0,2,30250000,15.63925307304538
6195000,6350,3,2,3,1,1,0,0,1,0,0,1,40322500,15.63925307304538
6195000,5500,3,2,1,1,1,1,0,0,2,1,3,30250000,15.63925307304538
6160000,4500,3,1,4,1,0,0,0,1,0,0,1,20250000,15.633587335509702
6160000,5450,4,2,1,1,0,1,0,1,0,1,2,29702500,15.633587335509702
6125000,6420,3,1,3,1,0,1,0,0,0,1,1,41216400,15.627889314395064
6107500,3240,4,1,3,1,0,0,0,0,1,0,1,10497600,15.625028082114033
6090000,6615,4,2,2,1,1,0,1,0,1,0,1,43758225,15.622158639686079
6090000,6600,3,1,1,1,1,1,0,0,2,1,3,43560000,15.622158639686079
6090000,8372,3,1,3,1,0,0,0,1,2,0,3,70090384,15.622158639686079
6083000,4300,6,2,2,1,0,0,0,0,0,0,0,18490000,15.621008553302842
6083000,9620,3,1,1,1,0,1,0,0,2,1,3,92544400,15.621008553302842
6020000,6800,2,1,1,1,1,1,0,0,2,0,2,46240000,15.610597817285004
6020000,8000,3,1,1,1,1,1,0,1,2,1,4,64000000,15.610597817285004
6020000,6900,3,2,1,1,1,1,0,0,0,1,1,47610000,15.610597817285004
5950000,3700,4,1,2,1,1,0,0,1,0,0,1,13690000,15.598901777521812
5950000,6420,3,1,1,1,0,1,0,1,0,1,2,41216400,15.598901777521812
5950000,7020,3,1,1,1,0,1,0,1,2,1,4,49280400,15.598901777521812
5950000,6540,3,1,1,1,1,1,0,0,2,1,3,42771600,15.598901777521812
5950000,7231,3,1,2,1,1,1,0,1,0,1,2,52287361,15.598901777521812
5950000,6254,4,2,1,1,0,1,0,0,1,1,2,39112516,15.598901777521812
5950000,7320,4,2,2,1,0,0,0,0,0,0,0,53582400,15.598901777521812
5950000,6525,3,2,4,1,0,0,0,0,1,0,1,42575625,15.598901777521812
5943000,15600,3,1,1,1,0,0,0,1,2,0,3,243360000,15.597724614348797
5880000,7160,3,1,1,1,0,1,0,0,2,1,3,51265600,15.58706731987481
5880000,6500,3,2,3,1,0,0,0,1,0,0,1,42250000,15.58706731987481
5873000,5500,3,1,3,1,1,0,0,1,1,0,2,30250000,15.585876134504657
5873000,11460,3,1,3,1,0,0,0,0,2,1,3,131331600,15.585876134504657
5866000,4800,3,1,1,1,1,1,0,0,0,0,0,23040000,15.584683528519534
5810000,5828,4,1,4,1,1,0,0,0,0,0,0,33965584,15.575091128828094
5810000,5200,3,1,3,1,0,0,0,1,0,0,1,27040000,15.575091128828094
5810000,4800,3,1,3,1,0,0,0,1,0,0,1,23040000,15.575091128828094
5803000,7000,3,1,1,1,0,1,0,0,2,1,3,49000000,15.573885583172745
5775000,6000,3,2,4,1,0,0,0,1,0,0,1,36000000,15.569048814372131
5740000,5400,4,2,2,1,0,0,0,1,2,0,3,29160000,15.56296976829575
5740000,4640,4,1,2,1,0,0,0,0,1,0,1,21529600,15.56296976829575
5740000,5000,3,1,3,1,0,0,0,1,0,0,1,25000000,15.56296976829575
5740000,6360,3,1,1,1,1,1,0,1,2,1,4,40449600,15.56296976829575
5740000,5800,3,2,4,1,0,0,0,1,0,0,1,33640000,15.56296976829575
5652500,6660,4,2,2,1,1,1,0,0,1,1,2,44355600,15.547608483134262
5600000,10500,4,2,2,1,0,0,0,0,1,0,1,110250000,15.538277155705378
5600000,4800,5,2,3,0,0,1,1,0,0,0,0,23040000,15.538277155705378
5600000,4700,4,1,2,1,1,1,0,1,1,0,2,22090000,15.538277155705378
5600000,5000,3,1,4,1,0,0,0,0,0,0,0,25000000,15.538277155705378
5600000,10500,2,1,1,1,0,0,0,0,1,0,1,110250000,15.538277155705378
5600000,5500,3,2,2,1,0,0,0,0,1,0,1,30250000,15.538277155705378
5600000,6360,3,1,3,1,0,0,0,0,0,1,1,40449600,15.538277155705378
5600000,6600,4,2,1,1,0,1,0,0,0,1,1,43560000,15.538277155705378
5600000,5136,3,1,2,1,1,1,0,1,0,1,2,26378496,15.538277155705378
5565000,4400,4,1,2,1,0,0,0,1,2,1,4,19360000,15.532007542691781
5565000,5400,5,1,2,1,1,1,0,1,0,1,2,29160000,15.532007542691781
5530000,3300,3,3,2,1,0,1,0,0,0,0,0,10890000,15.525698373498518
5530000,3650,3,2,2,1,0,0,0,0,2,0,2,13322500,15.525698373498518
5530000,6100,3,2,1,1,0,1,0,0,2,1,3,37210000,15.525698373498518
5523000,6900,3,1,1,1,1,1,0,0,0,1,1,47610000,15.524431748883325
5495000,2817,4,2,2,0,1,1,0,0,1,0,1,7935489,15.51934914581986
5495000,7980,3,1,1,1,0,0,0,0,2,0,2,63680400,15.51934914581986
5460000,3150,3,2,1,1,1,1,0,1,0,0,1,9922500,15.512959347721088
5460000,6210,4,1,4,1,1,0,0,1,0,0,1,38564100,15.512959347721088
5460000,6100,3,1,3,1,1,0,0,1,0,1,2,37210000,15.512959347721088
5460000,6600,4,2,2,1,1,1,0,0,0,1,1,43560000,15.512959347721088
5425000,6825,3,1,1,1,1,1,0,1,0,1,2,46580625,15.506528457390797
5390000,6710,3,2,2,1,1,1,0,0,1,1,2,45024100,15.50005594288518
5383000,6450,3,2,1,1,1,1,1,0,0,0,0,41602500,15.498756397543094
5320000,7800,3,1,1,1,0,1,0,1,2,1,4,60840000,15.486983861317826
5285000,4600,2,2,1,1,0,0,0,1,2,0,3,21160000,15.480383177286475
5250000,4260,4,1,2,1,0,1,0,1,0,0,1,18147600,15.473738634567807
5250000,6540,4,2,2,0,0,0,0,1,0,0,1,42771600,15.473738634567807
5250000,5500,3,2,1,1,0,1,0,0,0,0,0,30250000,15.473738634567807
5250000,10269,3,1,1,1,0,0,0,0,1,1,2,105452361,15.473738634567807
5250000,8400,3,1,2,1,1,1,0,1,2,1,4,70560000,15.473738634567807
5250000,5300,4,2,1,1,0,0,0,1,0,1,2,28090000,15.473738634567807
5250000,3800,3,1,2,1,1,1,0,0,1,1,2,14440000,15.473738634567807
5250000,9800,4,2,2,1,1,0,0,0,2,0,2,96040000,15.473738634567807
5250000,8520,3,1,1,1,0,0,0,1,2,0,3,72590400,15.473738634567807
5243000,6050,3,1,1,1,0,1,0,0,0,1,1,36602500,15.47240441155467
5229000,7085,3,1,1,1,1,1,0,0,2,1,3,50197225,15.469730613170269
5215000,3180,3,2,2,1,0,0,0,0,2,0,2,10112400,15.46704964641701
5215000,4500,4,2,1,0,0,1,0,1,2,0,3,20250000,15.46704964641701
5215000,7200,3,1,2,1,1,1,0,0,1,1,2,51840000,15.46704964641701
5145000,3410,3,1,2,0,0,0,0,1,0,0,1,11628100,15.453535927250288
5145000,7980,3,1,1,1,0,0,0,0,1,1,2,63680400,15.453535927250288
5110000,3000,3,2,2,1,1,1,0,0,0,0,0,9000000,15.446709962179888
5110000,3000,3,1,2,1,0,1,0,0,0,0,0,9000000,15.446709962179888
5110000,11410,2,1,2,1,0,0,0,0,0,1,1,130188100,15.446709962179888
5110000,6100,3,1,1,1,0,1,0,1,0,1,2,37210000,15.446709962179888
5075000,5720,2,1,2,1,0,0,0,1,0,1,2,32718400,15.439837082892126
5040000,3540,2,1,1,0,1,1,0,0,0,0,0,12531600,15.432916640047551
5040000,7600,4,1,2,1,0,0,0,1,2,0,3,57760000,15.432916640047551
5040000,10700,3,1,2,1,1,1,0,0,0,0,0,114490000,15.432916640047551
5040000,6600,3,1,1,1,1,1,0,0,0,1,1,43560000,15.432916640047551
5033000,4800,2,1,1,1,1,1,0,0,0,0,0,23040000,15.431526785758496
5005000,8150,3,2,1,1,1,1,0,0,0,0,0,66422500,15.425947970731459
4970000,4410,4,3,2,1,0,1,0,0,2,0,2,19448100,15.418930398072812
4970000,7686,3,1,1,1,1,1,1,0,0,0,0,59074596,15.418930398072812
4956000,2800,3,2,2,0,0,1,0,1,1,0,2,7840000,15.41610952173117
4935000,5948,3,1,2,1,0,0,0,1,0,0,1,35378704,15.411863230849718
4907000,4200,3,1,2,1,0,0,0,0,1,0,1,17640000,15.40617331507204
4900000,4520,3,1,2,1,0,1,0,1,0,0,1,20430400,15.404745763080856
4900000,4095,3,1,2,0,1,1,0,1,0,0,1,16769025,15.404745763080856
4900000,4120,2,1,1,1,0,1,0,0,1,0,1,16974400,15.404745763080856
4900000,5400,4,1,2,1,0,0,0,0,0,0,0,29160000,15.404745763080856
4900000,4770,3,1,1,1,1,1,0,0,0,0,0,22752900,15.404745763080856
4900000,6300,3,1,1,1,0,0,0,1,2,0,3,39690000,15.404745763080856
4900000,5800,2,1,1,1,1,1,0,1,0,0,1,33640000,15.404745763080856
4900000,3000,3,1,2,1,0,1,0,1,0,0,1,9000000,15.404745763080856
4900000,2970,3,1,3,1,0,0,0,0,0,0,0,8820900,15.404745763080856
4900000,6720,3,1,1,1,0,0,0,0,0,0,0,45158400,15.404745763080856
4900000,4646,3,1,2,1,1,1,0,0,2,0,2,21585316,15.404745763080856
4900000,12900,3,1,1,1,0,0,0,0,2,0,2,166410000,15.404745763080856
4893000,3420,4,2,2,1,0,1,0,1,2,0,3,11696400,15.40331617027126
4893000,4995,4,2,1,1,0,1,0,0,0,0,0,24950025,15.40331617027126
4865000,4350,2,1,1,1,0,1,0,0,0,0,0,18922500,15.397577273602243
4830000,4160,3,1,3,1,0,0,0,0,0,0,0,17305600,15.390357025628756
4830000,6040,3,1,1,1,0,0,0,0,2,1,3,36481600,15.390357025628756
4830000,6862,3,1,2,1,0,0,0,1,2,1,4,47087044,15.390357025628756
4830000,4815,2,1,1,1,0,0,0,1,0,1,2,23184225,15.390357025628756
4795000,7000,3,1,2,1,0,1,0,0,0,0,0,49000000,15.383084266299676
4795000,8100,4,1,4,1,0,1,0,1,2,0,3,65610000,15.383084266299676
4767000,3420,4,2,2,1,0,0,0,0,0,0,0,11696400,15.377227734186963
4760000,9166,2,1,1,1,0,1,0,1,2,0,3,84015556,15.375758226207603
4760000,6321,3,1,2,1,0,1,0,1,1,0,2,39955041,15.375758226207603
4760000,10240,2,1,1,1,0,0,0,1,2,1,4,104857600,15.375758226207603
4753000,6440,2,1,1,1,0,0,0,1,3,0,4,41473600,15.374286555596147
4690000,5170,3,1,4,1,0,0,0,1,0,0,1,26728900,15.360943140422462
4690000,6000,2,1,1,1,0,1,0,1,1,0,2,36000000,15.360943140422462
4690000,3630,3,1,2,1,0,0,0,0,2,0,2,13176900,15.360943140422462
4690000,9667,4,2,2,1,1,1,0,0,1,0,1,93450889,15.360943140422462
4690000,5400,2,1,2,1,0,0,0,0,0,1,1,29160000,15.360943140422462
4690000,4320,3,1,1,1,0,0,0,0,0,1,1,18662400,15.360943140422462
4655000,3745,3,1,2,1,0,1,0,0,0,0,0,14025025,15.353452468693305
4620000,4160,3,1,1,1,1,1,0,1,0,0,1,17305600,15.345905263057922
4620000,3880,3,2,2,1,0,1,0,0,2,0,2,15054400,15.345905263057922
4620000,5680,3,1,2,1,1,0,0,1,1,0,2,32262400,15.345905263057922
4620000,2870,2,1,2,1,1,1,0,0,0,1,1,8236900,15.345905263057922
4620000,5010,3,1,2,1,0,1,0,0,0,0,0,25100100,15.345905263057922
4613000,4510,4,2,2,1,0,1,0,0,0,0,0,20340100,15.344388962539957
4585000,4000,3,1,2,1,0,0,0,0,1,0,1,16000000,15.338300663672703
4585000,3840,3,1,2,1,0,0,0,0,1,1,2,14745600,15.338300663672703
4550000,3760,3,1,1,1,0,0,0,0,2,0,2,14137600,15.330637790927133
4550000,3640,3,1,2,1,0,0,0,1,0,0,1,13249600,15.330637790927133
4550000,2550,3,1,2,1,0,1,0,0,0,0,0,6502500,15.330637790927133
4550000,5320,3,1,2,1,1,1,0,0,0,1,1,28302400,15.330637790927133
4550000,5360,3,1,2,1,0,0,0,0,2,1,3,28729600,15.330637790927133
4550000,3520,3,1,1,1,0,0,0,0,0,1,1,12390400,15.330637790927133
4550000,8400,4,1,4,1,0,0,0,0,3,0,3,70560000,15.330637790927133
4543000,4100,2,2,1,1,1,1,0,0,0,0,0,16810000,15.32909814474154
4543000,4990,4,2,2,1,1,1,0,0,0,1,1,24900100,15.32909814474154
4515000,3510,3,1,3,1,0,0,0,0,0,0,0,12320100,15.322915744833223
4515000,3450,3,1,2,1,0,1,0,0,1,0,1,11902500,15.322915744833223
4515000,9860,3,1,1,1,0,0,0,0,0,0,0,97219600,15.322915744833223
4515000,3520,2,1,2,1,0,0,0,0,0,1,1,12390400,15.322915744833223
4480000,4510,4,1,2,1,0,0,0,1,2,0,3,20340100,15.315133604391168
4480000,5885,2,1,1,1,0,0,0,1,1,0,2,34633225,15.315133604391168
4480000,4000,3,1,2,1,0,0,0,0,2,0,2,16000000,15.315133604391168
4480000,8250,3,1,1,1,0,0,0,0,0,0,0,68062500,15.315133604391168
4480000,4040,3,1,2,1,0,0,0,0,1,0,1,16321600,15.315133604391168
4473000,6360,2,1,1,1,0,1,0,1,1,0,2,40449600,15.313569882414985
4473000,3162,3,1,2,1,0,0,0,1,1,0,2,9998244,15.313569882414985
4473000,3510,3,1,2,1,0,0,0,0,0,0,0,12320100,15.313569882414985
4445000,3750,2,1,1,1,1,1,0,0,0,0,0,14062500,15.307290426930143
4410000,3968,3,1,2,0,0,0,0,0,0,0,0,15745024,15.299385247423029
4410000,4900,2,1,2,1,0,1,0,0,0,0,0,24010000,15.299385247423029
4403000,2880,3,1,2,1,0,0,0,0,0,1,1,8294400,15.297796684737891
4403000,4880,3,1,1,1,0,0,0,0,2,1,3,23814400,15.297796684737891
4403000,4920,3,1,2,1,0,0,0,0,1,0,1,24206400,15.297796684737891
4382000,4950,4,1,2,1,0,0,0,1,0,0,1,24502500,15.29301579913755
4375000,3900,3,1,2,1,0,0,0,0,0,0,0,15210000,15.291417077773852
4340000,4500,3,2,3,1,0,0,1,0,1,0,1,20250000,15.283384906076588
4340000,1905,5,1,2,0,0,1,0,0,0,0,0,3629025,15.283384906076588
4340000,4075,3,1,1,1,1,1,0,0,2,0,2,16605625,15.283384906076588
4340000,3500,4,1,2,1,0,0,0,0,2,0,2,12250000,15.283384906076588
4340000,6450,4,1,2,1,0,0,0,0,0,0,0,41602500,15.283384906076588
4319000,4032,2,1,1,1,0,1,0,0,0,0,0,16257024,15.278534451942837
4305000,4400,2,1,1,1,0,0,0,0,1,0,1,19360000,15.275287695843968
4305000,10360,2,1,1,1,0,0,0,0,1,1,2,107329600,15.275287695843968
4277000,3400,3,1,2,1,0,1,0,0,2,1,3,11560000,15.268762387209046
4270000,6360,2,1,1,1,0,0,0,0,0,0,0,40449600,15.267124385204808
4270000,6360,2,1,2,1,0,0,0,0,0,0,0,40449600,15.267124385204808
4270000,4500,2,1,1,1,0,0,0,1,2,0,3,20250000,15.267124385204808
4270000,2175,3,1,2,0,1,1,0,1,0,0,1,4730625,15.267124385204808
4270000,4360,4,1,2,1,0,0,0,0,0,0,0,19009600,15.267124385204808
4270000,7770,2,1,1,1,0,0,0,0,1,0,1,60372900,15.267124385204808
4235000,6650,3,1,2,1,1,0,0,0,0,0,0,44222500,15.258893886068291
4235000,2787,3,1,1,1,0,1,0,0,0,1,1,7767369,15.258893886068291
4200000,5500,3,1,2,1,0,0,0,1,0,0,1,30250000,15.250595083253597
4200000,5040,3,1,2,1,0,1,0,1,0,0,1,25401600,15.250595083253597
4200000,5850,2,1,1,1,1,1,0,0,2,0,2,34222500,15.250595083253597
4200000,2610,4,3,2,0,0,0,0,0,0,0,0,6812100,15.250595083253597
4200000,2953,3,1,2,1,0,1,0,1,0,0,1,8720209,15.250595083253597
4200000,2747,4,2,2,0,0,0,0,0,0,0,0,7546009,15.250595083253597
4200000,4410,2,1,1,0,0,0,0,0,1,0,1,19448100,15.250595083253597
4200000,4000,4,2,2,0,0,0,0,0,0,0,0,16000000,15.250595083253597
4200000,2325,3,1,2,0,0,0,0,0,0,0,0,5405625,15.250595083253597
4200000,4600,3,2,2,1,0,0,0,1,1,0,2,21160000,15.250595083253597
4200000,3640,3,2,2,1,0,1,0,0,0,0,0,13249600,15.250595083253597
4200000,5800,3,1,1,1,0,0,1,0,2,0,2,33640000,15.250595083253597
4200000,7000,3,1,1,1,0,0,0,0,3,0,3,49000000,15.250595083253597
4200000,4079,3,1,3,1,0,0,0,0,0,0,0,16638241,15.250595083253597
4200000,3520,3,1,2,1,0,0,0,0,0,1,1,12390400,15.250595083253597
4200000,2145,3,1,3,1,0,0,0,0,1,1,2,4601025,15.250595083253597
4200000,4500,3,1,1,1,0,1,0,0,0,0,0,20250000,15.250595083253597
4193000,8250,3,1,1,1,0,1,0,0,3,0,3,68062500,15.2489270261529
4193000,3450,3,1,2,1,0,0,0,0,1,0,1,11902500,15.2489270261529
4165000,4840,3,1,2,1,0,0,0,0,1,0,1,23425600,15.24222683358308
4165000,4080,3,1,2,1,0,0,0,0,2,0,2,16646400,15.24222683358308
4165000,4046,3,1,2,1,0,1,0,0,1,0,1,16370116,15.24222683358308
4130000,4632,4,1,2,1,0,0,0,1,0,0,1,21455424,15.233787964937216
4130000,5985,3,1,1,1,0,1,0,0,0,0,0,35820225,15.233787964937216
4123000,6060,2,1,1,1,0,1,0,0,1,0,1,36723600,15.232091611689038
4098500,3600,3,1,1,1,0,1,0,1,0,1,2,12960000,15.226131611075223
4095000,3680,3,2,2,1,0,0,0,0,0,0,0,13542400,15.225277275269306
4095000,4040,2,1,2,1,0,0,0,0,1,0,1,16321600,15.225277275269306
4095000,5600,2,1,1,1,0,0,0,1,0,0,1,31360000,15.225277275269306
4060000,5900,4,2,2,0,0,1,0,0,1,0,1,34810000,15.216693531577915
4060000,4992,3,2,2,1,0,0,0,0,2,0,2,24920064,15.216693531577915
4060000,4340,3,1,1,1,0,0,0,0,0,0,0,18835600,15.216693531577915
4060000,3000,4,1,3,1,0,1,0,1,2,0,3,9000000,15.216693531577915
4060000,4320,3,1,2,1,0,0,0,0,2,1,3,18662400,15.216693531577915
4025000,3630,3,2,2,1,0,0,1,0,2,0,2,13176900,15.208035468834801
4025000,3460,3,2,1,1,0,1,0,1,1,0,2,11971600,15.208035468834801
4025000,5400,3,1,1,1,0,0,0,0,3,0,3,29160000,15.208035468834801
4007500,4500,3,1,2,0,0,1,0,1,0,0,1,20250000,15.203678163465845
4007500,3460,4,1,2,1,0,0,0,1,0,0,1,11971600,15.203678163465845
3990000,4100,4,1,1,0,0,1,0,0,0,0,0,16810000,15.199301788866046
3990000,6480,3,1,2,0,0,0,0,1,1,0,2,41990400,15.199301788866046
3990000,4500,3,2,2,0,0,1,0,1,0,0,1,20250000,15.199301788866046
3990000,3960,3,1,2,1,0,0,0,0,0,0,0,15681600,15.199301788866046
3990000,4050,2,1,2,1,1,1,0,0,0,1,1,16402500,15.199301788866046
3920000,7260,3,2,1,1,1,1,0,0,3,0,3,52707600,15.181602211766645
3920000,5500,4,1,2,1,1,1,0,0,0,0,0,30250000,15.181602211766645
3920000,3000,3,1,2,1,0,0,0,0,0,0,0,9000000,15.181602211766645
3920000,3290,2,1,1,1,0,0,1,0,1,0,1,10824100,15.181602211766645
3920000,3816,2,1,1,1,0,1,0,1,2,0,3,14561856,15.181602211766645
3920000,8080,3,1,1,1,0,0,0,1,2,0,3,65286400,15.181602211766645
3920000,2145,4,2,1,1,0,1,0,0,0,1,1,4601025,15.181602211766645
